Zaman_s,Konum_km,Hiz_kmh,Ivme_ms2,Jerk_ms3,Kutle_Ton,Kuvvet_kN,Guc_kW,Disk_Sicaklik_C,Stres_MPa
10,0.0357,25.2,0.7,0,585.775,421.7995155,2952.5966085,25,482.365930908538
10.2,0.037128,25.704,0.7,0,585.775,421.810185544,3011.72472478416,25,482.365930908538
10.4,0.038584,26.208,0.7,0,585.775,421.821066876,3070.85736685728,25,482.365930908538
10.6,0.040068,26.712,0.7,0,585.775,421.832159496,3129.99462346032,25,482.365930908538
10.8,0.04158,27.216,0.7,0,585.775,421.843463404,3189.13658333424,25,482.365930908538
11,0.04312,27.72,0.7,0,585.775,421.8549786,3248.28333522,25,482.365930908538
11.2,0.044688,28.224,0.7,0,585.775,421.866705084,3307.43496785856,25,482.365930908538
11.4,0.046284,28.728,0.7,0,585.775,421.878642856,3366.59156999088,25,482.365930908538
11.6,0.047908,29.232,0.7,0,585.775,421.890791916,3425.75323035792,25,482.365930908538
11.8,0.04956,29.736,0.7,0,585.775,421.903152264,3484.92003770064,25,482.365930908538
12,0.05124,30.24,0.7,0,585.775,421.9157239,3544.09208076,25,482.365930908538
12.2,0.052948,30.744,0.7,0,585.775,421.928506824,3603.26944827696,25,482.365930908538
12.4,0.054684,31.248,0.7,0,585.775,421.941501036,3662.45222899248,25,482.365930908538
12.6,0.056448,31.752,0.7,0,585.775,421.954706536,3721.64051164752,25,482.365930908538
12.8,0.05824,32.256,0.7,0,585.775,421.968123324,3780.83438498304,25,482.365930908538
13,0.06006,32.76,0.7,0,585.775,421.9817514,3840.03393774,25,482.365930908538
13.2,0.061908,33.264,0.7,0,585.775,421.995590764,3899.23925865936,25,482.365930908538
13.4,0.063784,33.768,0.7,0,585.775,422.009641416,3958.45043648208,25,482.365930908538
13.6,0.065688,34.272,0.7,0,585.775,422.023903356,4017.66755994912,25,482.365930908538
13.8,0.06762,34.776,0.7,0,585.775,422.038376584,4076.89071780144,25,482.365930908538
14,0.06958,35.28,0.7,0,585.775,422.0530611,4136.11999878,25,482.365930908538
14.2,0.071568,35.784,0.7,0,585.775,422.067956904,4195.35549162576,25,482.365930908538
14.4,0.073584,36.288,0.7,0,585.775,422.083063996,4254.59728507968,25,482.365930908538
14.6,0.075628,36.792,0.7,0,585.775,422.098382376,4313.84546788272,25,482.365930908538
14.8,0.0777,37.296,0.7,0,585.775,422.113912044,4373.10012877584,25,482.365930908538
15,0.0798,37.8,0.7,0,585.775,422.129653,4432.3613565,25,482.365930908538
15.2,0.081928,38.304,0.7,0,585.775,422.145605244,4491.62923979616,25,482.365930908538
15.4,0.084084,38.808,0.7,0,585.775,422.161768776,4550.90386740528,25,482.365930908538
15.6,0.086268,39.312,0.7,0,585.775,422.178143596,4610.18532806832,25,482.365930908538
15.8,0.08848,39.816,0.7,0,585.775,422.194729704,4669.47371052624,25,482.365930908538
16,0.09072,40.32,0.7,0,585.775,422.2115271,4728.76910352,25,482.365930908538
16.2,0.092988,40.824,0.7,0,585.775,422.228535784,4788.07159579056,25,482.365930908538
16.4,0.095284,41.328,0.7,0,585.775,422.245755756,4847.38127607888,25,482.365930908538
16.6,0.097608,41.832,0.7,0,585.775,422.263187016,4906.69823312592,25,482.365930908538
16.8,0.09996,42.336,0.7,0,585.775,422.280829564,4966.02255567264,25,482.365930908538
17,0.10234,42.84,0.7,0,585.775,422.2986834,5025.35433246,25,482.365930908538
17.2,0.104748,43.344,0.7,0,585.775,422.316748524,5084.69365222896,25,482.365930908538
17.4,0.107184,43.848,0.7,0,585.775,422.335024936,5144.04060372048,25,482.365930908538
17.6,0.109648,44.352,0.7,0,585.775,422.353512636,5203.39527567552,25,482.365930908538
17.8,0.11214,44.856,0.7,0,585.775,422.372211624,5262.75775683504,25,482.365930908538
18,0.11466,45.36,0.7,0,585.775,422.3911219,5322.12813594001,25,482.365930908538
18.2,0.117208,45.864,0.7,0,585.775,422.410243464,5381.50650173136,25,482.365930908538
18.4,0.119784,46.368,0.7,0,585.775,422.429576316,5440.89294295008,25,482.365930908538
18.6,0.122388,46.872,0.7,0,585.775,422.449120456,5500.28754833712,25,482.365930908538
18.8,0.12502,47.376,0.7,0,585.775,422.468875884,5559.69040663345,25,482.365930908538
19,0.12768,47.88,0.7,0,585.775,422.4888426,5619.10160658,25,482.365930908538
19.2,0.130368,48.3840000000001,0.7,0,585.775,422.509020604,5678.52123691777,25,482.365930908538
19.4,0.133084,48.8880000000001,0.7,0,585.775,422.529409896,5737.94938638769,25,482.365930908538
19.6,0.135828,49.3920000000001,0.7,0,585.775,422.550010476,5797.38614373073,25,482.365930908538
19.8,0.1386,49.8960000000001,0.7,0,585.775,422.570822344,5856.83159768785,25,482.365930908538
