Konum_km,Hiz_kmh,Kutle_Ton,Cer_Kuvveti_kN,Direnc_kN,Egim_Yuzde
0.8474,90,585.775,14.8616555,14.8616555,0
0.8599,90,585.775,14.8616555,14.8616555,0
0.8724,90,585.775,14.8616555,14.8616555,0
0.8849,90,585.775,14.8616555,14.8616555,0
0.8974,90,585.775,14.8616555,14.8616555,0
0.9099,90,585.775,14.8616555,14.8616555,0
0.9224,90,585.775,14.8616555,14.8616555,0
0.9349,90,585.775,14.8616555,14.8616555,0
0.9474,90,585.775,14.8616555,14.8616555,0
0.9599,90,585.775,14.8616555,14.8616555,0
0.9724,90,585.775,14.8616555,14.8616555,0
0.9849,90,585.775,14.8616555,14.8616555,0
0.9974,90,585.775,14.8616555,14.8616555,0
1.0099,90,585.775,14.8616555,14.8616555,0
1.0224,90,585.775,14.8616555,14.8616555,0
1.0349,90,585.775,14.8616555,14.8616555,0
1.0474,90,585.775,14.8616555,14.8616555,0
1.0599,90,585.775,14.8616555,14.8616555,0
1.0724,90,585.775,14.8616555,14.8616555,0
1.0849,90,585.775,14.8616555,14.8616555,0
1.0974,90,585.775,14.8616555,14.8616555,0
1.1099,90,585.775,14.8616555,14.8616555,0
1.1224,90,585.775,14.8616555,14.8616555,0
1.1349,90,585.775,14.8616555,14.8616555,0
1.1474,90,585.775,14.8616555,14.8616555,0
1.1599,90,585.775,14.8616555,14.8616555,0
1.1724,90,585.775,14.8616555,14.8616555,0
1.1849,90,585.775,14.8616555,14.8616555,0
1.1974,90,585.775,14.8616555,14.8616555,0
1.2099,90,585.775,14.8616555,14.8616555,0
1.2224,90,585.775,14.8616555,14.8616555,0
1.2349,90,585.775,14.8616555,14.8616555,0
1.2474,90,585.775,14.8616555,14.8616555,0
1.259675,88.38,585.775,0,14.741471975,0
1.271725,86.76,585.775,0,14.6234714,0
1.28355,85.14,585.775,0,14.507653775,0
1.29515,83.52,585.775,0,14.3940191,0
1.306525,81.9,585.775,0,14.282567375,0
1.317675,80.28,585.775,0,14.1732986,0
1.3286,78.66,585.775,0,14.066212775,0
1.3393,77.04,585.775,0,13.9613099,0
1.349775,75.42,585.775,0,13.858589975,0
1.360025,73.8,585.775,0,13.758053,0
1.37005,72.18,585.775,0,13.659698975,0
1.37985,70.56,585.775,0,13.5635279,0
1.389425,68.94,585.775,0,13.469539775,0
1.398775,67.32,585.775,0,13.3777346,0
1.4083,68.58,585.775,423.491449975,13.448949975,0
1.4176,66.9600000000001,585.775,0,13.3576299,0
1.426675,65.34,585.775,0,13.268492775,0
1.435525,63.72,585.775,0,13.1815386,0
1.44415,62.1000000000001,585.775,0,13.096767375,0
1.45255,60.4800000000001,585.775,0,13.0141791,0
1.460725,58.8600000000001,585.775,0,12.933773775,0
1.468675,57.2400000000001,585.775,0,12.8555514,0
1.4764,55.6200000000001,585.775,0,12.779511975,0
1.4839,54.0000000000001,585.775,0,12.7056555,0
1.491175,52.3800000000001,585.775,0,12.633981975,0
1.498225,50.7600000000001,585.775,0,12.5644914,0
1.50505,49.1400000000001,585.775,0,12.497183775,0
1.51165,47.5200000000001,585.775,0,12.4320591,0
1.518025,45.9000000000001,585.775,0,12.369117375,0
1.524175,44.2800000000001,585.775,0,12.3083586,0
1.5301,42.6600000000001,585.775,0,12.249782775,0
1.5358,41.0400000000001,585.775,0,12.1933899,0
1.541275,39.4200000000001,585.775,0,12.139179975,0
1.546525,37.8000000000001,585.775,0,12.087153,0
1.55155,36.1800000000001,585.775,0,12.037308975,0
